Code Desc,Cpt Type,Service Item Id,Medicare Allowable
Ophth Ultrasoun,Other,76512,79.22323973
Lucentis 0.5 Mg,Lucentis,J2778,0
Scan Computeriz,Other,92134-TC,15.97
Offic/outpt E&m,Office Code,99211,22.89718558
Scan Computeriz,Other,92134-26,26.77218253
Visual Field Ex,Visual Field,92082,26.80013696
Clo Lacrimal Pu,Other,68761,159.6945856
Corneal Topogra,Other,92025,38.14959437
Revis Operative,Retinal Surgery,66250,606.8733369
Anes- Eye; Corn,Anesthesia,144,219.69
Pre Op Visit,Other,Pre Op,0
Repr Retinal De,Retinal Surgery,67108,1304.600063
REVISION OF AQU,Other,66184,851.8293249
Severing Adhesi,Other,65870,642.5262461
Aspirat/vitreou,Retinal Surgery,67015,636.2
Keratoplasty; P,Other,65730,1353.64583
Exc & Repr Lid;,Plastic Surgery,67961,498.4213019
Goniotomy,Non-Cataract Surgery,65820,813.7831979
Inj Therap Agen,Other,67515,101.9155876
"Vitrectomy,Rmvl",Retinal Surgery,67041,1221.05
Remov Implnt Ma,Retinal Surgery,67121,993.64
Determ Refracti,Other,92015,20.83
Eylea Prefilled,Eylea,J0178b,0
INSERT ANT SEGM,Other,0376T,0
Paracentesis (s,Other,65815,520.78
Ext Ocular Phot,Other,92285,24.03062106
Visual Field Ex,Other,92082-26,22.66354701
Laser treatment,Retinal Surgery,67039,1056.6
Remov Implnt Ma,Other,65920,860.5
Cataract Ext. C,Cataract Surgery,66982,815.5318488
Severing Adhesi,Other,65880,723.91
Anes- Integ Hea,Anesthesia,103,135.57
Offic/outpt E&m,Office Code,99212,47.47339251
Ophthalmoscopy ,Other,92202,16.91086477
Translum Dilate,Non-Cataract Surgery,66174,1033.410998
Bx Conjunc,Other,68100,184.410471
Offic/outpt E&m,Office Code,99215,158.15
Offic/outpt E&m,Office Code,99203,119.2889946
Revis Aqueous S,Glaucoma,66185,919.0259948
Severing Vitreo,Other,67031,387.7930911
Remov Lens Mat;,Non-Cataract Surgery,66852,923.15
Repr Blepharopt,Plastic Surgery,67904,594.4982832
Triesence - Sam,Other Injectables,TRIES_SAMP,0
Offic/outpt E&m,Office Code,99204,181.0139087
Scan Computeriz,Other,92133-26,23.69961667
Placmnt amnio m,Other,65778,1491.438588
Visual Field Ex,Other,92082-TC,27.59771712
Dexamethasone (,Other Injectables,DEXAM_SAMP,0
Fluorescein Ang,Other,92235,90.4399951
Beovu Sample,Beovu,Beovu_smpl,0
Ophthalmoscopy ,Other,92201,24.41915658
Lens sphcy bifo,Other,V2204,0
Lens sphcyl bif,Other,V2203,0
Offic/outpt E&m,Office Code,99202,73.63632511
Unlisted Proc E,Other,67999,0
Beovu Delivered,0,Beovu_Delv,0
Correct Trichia,Other,67820,43.25747936
Beovu Delivered,Beovu,Beovu_Delv,0
Virtual Check-i,Other,G2012,16.00934656
Kenalog Deliver,Kenalog,KENAL_DELV,0
Repr Lacerat; A,Non-Cataract Surgery,65286,758.0006957
PHONE E/M PHYS/,Office Code,99441,15.63906726
PHONE E/M PHYS/,Office Code,99442,31.10490445
Exc Ben Les Fac,Other,11440,151.9530954
Prophylaxis Ret,Other,67145,573.0443828
